pob,indiv,fruto,tiempo,sv,masa,l_cipsela,a_cisela,l_papus,altura_sitio,capitulos,altura_planta
cabal,7,1,2633068,,1.36,3.62,1.03,7.19,,560,60
cabal,7,2,4390448,,0.63,3.68,0.86,7.76,,560,60
cabal,7,2,4164912,,0.63,3.68,0.86,7.76,,560,60
cabal,7,2,4195976,,0.63,3.68,0.86,7.76,,560,60
cabal,7,3,3692680,,1.44,3.87,0.79,8.35,,560,60
cabal,7,3,3723672,,1.44,3.87,0.79,8.35,,560,60
cabal,7,3,3802456,,1.44,3.87,0.79,8.35,,560,60
candonga,7,1,1939188,,2.33,4.44,0.929,6.816,,110,79
candonga,7,1,1923048,,2.33,4.44,0.929,6.816,,110,79
candonga,7,1,1922880,,2.33,4.44,0.929,6.816,,110,79
candonga,7,2,3287368,,0.62,3.985,0.742,6.873,,110,79
candonga,7,2,3283416,,0.62,3.985,0.742,6.873,,110,79
candonga,7,2,3219304,,0.62,3.985,0.742,6.873,,110,79
candonga,7,3,1881976,,2.65,4.256,1.065,6.877,,110,79
candonga,7,3,1884688,,2.65,4.256,1.065,6.877,,110,79
candonga,7,3,1852292,,2.65,4.256,1.065,6.877,,110,79
ca,8,1,3001468,,1.88,4.057,0.953,7.764,1350,1440,81
ca,8,1,2976588,,1.88,4.057,0.953,7.764,1350,1440,81
ca,8,1,3027884,,1.88,4.057,0.953,7.764,1350,1440,81
ca,8,2,2820604,,1.82,3.883,1.182,8.094,1350,1440,81
ca,8,2,2857796,,1.82,3.883,1.182,8.094,1350,1440,81
ca,8,2,2800200,,1.82,3.883,1.182,8.094,1350,1440,81
ca,8,3,3861536,,0.9,4.16,1.048,7.964,1350,1440,81
ca,8,3,3838940,,0.9,4.16,1.048,7.964,1350,1440,81
ca,8,3,3875140,,0.9,4.16,1.048,7.964,1350,1440,81
cabal,8,1,2948124,,1.86,4.27,1.034,8.384,,232,73
cabal,8,1,2980616,,1.86,4.27,1.034,8.384,,232,73
cabal,8,1,2965204,,1.86,4.27,1.034,8.384,,232,73
cabal,8,2,2881640,,1.72,4.256,0.844,7.752,,232,73
cabal,8,2,2854968,,1.72,4.256,0.844,7.752,,232,73
cabal,8,2,2862940,,1.72,4.256,0.844,7.752,,232,73
cabal,8,3,2924908,,1.98,3.847,0.961,7.999,,232,73
cabal,8,3,2906316,,1.98,3.847,0.961,7.999,,232,73
cabal,8,3,2896448,,1.98,3.847,0.961,7.999,,232,73
candonga,8,1,2508012,,2.12,3.851,1.002,6.32,,100,110
candonga,8,1,2535036,,2.12,3.851,1.002,6.32,,100,110
candonga,8,1,2521212,,2.12,3.851,1.002,6.32,,100,110
candonga,8,2,2615684,,1.85,3.775,1.109,6.925,,100,110
candonga,8,2,2594248,,1.85,3.775,1.109,6.925,,100,110
candonga,8,2,2563636,,1.85,3.775,1.109,6.925,,100,110
candonga,8,3,2829024,,1.68,3.578,0.882,6.75,,100,110
candonga,8,3,2779768,,1.68,3.578,0.882,6.75,,100,110
candonga,8,3,2798132,,1.68,3.578,0.882,6.75,,100,110
cb,9,1,2790588,,1.11,3.766,0.971,5.992,960,450,88
cb,9,1,2787720,,1.11,3.766,0.971,5.992,960,450,88
cb,9,1,2781504,,1.11,3.766,0.971,5.992,960,450,88
cb,9,2,2692888,,1.33,4.03,1.036,6.427,960,450,88
cb,9,2,2651760,,1.33,4.03,1.036,6.427,960,450,88
cb,9,2,2711688,,1.33,4.03,1.036,6.427,960,450,88
cb,9,3,3216768,,0.89,4.305,1.029,7.058,960,450,88
cb,9,3,3199836,,0.89,4.305,1.029,7.058,960,450,88
cb,9,3,3218848,,0.89,4.305,1.029,7.058,960,450,88
cm,9,1,4578228,,0.7,3.83,0.806,6.259,1170,45,59
cm,9,1,4466840,,0.7,3.83,0.806,6.259,1170,45,59
cm,9,1,4289232,,0.7,3.83,0.806,6.259,1170,45,59
cm,9,2,4278592,,1.03,3.839,0.908,7.105,1170,45,59
cm,9,2,4207856,,1.03,3.839,0.908,7.105,1170,45,59
cm,9,2,4111760,,1.03,3.839,0.908,7.105,1170,45,59
